listing_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,booked_365,revenue,rent_term
32389722,Spacious 1 Bed room with kitchenette,37840126,Eddie,Vadhana,13.7296,100.57281,Hotel room,5000,1,0,,0.0,2,365,0,0,0,Short
32677945,Everyday Sukhumvit 11-13,24732047,EveRyDaY Is A HoLidAy,Vadhana,13.74425,100.55859,Entire home/apt,1490,30,46,2022-09-13,0.99,6,331,5,34,50660,Long
32679414,Luxury condo@Superb skyline view-bkce41,128943709,Rain,Vadhana,13.73918,100.59017,Entire home/apt,2100,21,0,,0.0,26,134,0,231,485100,Short
32679720,Triple room for 3 Pax near Don Mueang Airport,165814945,Dutsada,Lak Si,13.8938,100.5641,Hotel room,600,1,1,2022-08-19,0.23,5,179,1,186,111600,Short
32679883,3 bedroom near  immigration office chaengwattana,165814945,Dutsada,Lak Si,13.89194,100.56233,Private room,590,1,0,,0.0,5,365,0,0,0,Short
32680232,【简约一居】无边泳池，市中心近火车夜市、四面佛，素坤逸娜娜，康明医院，机场线、天铁地铁站旁，中文房东,51192901,Dylan,Ratchathewi,13.75128,100.55473,Entire home/apt,3234,28,16,2022-08-31,0.34,14,0,1,365,1180410,Short
32684505,Rodeo House BKK,245755494,Sira,Sai Mai,13.89279,100.68752,Private room,2333,1,7,2021-10-17,0.15,1,180,0,185,431605,Short
32389759,Eat Street Food on Charoenkrung Rd near the Pier,67973902,Morphy,Sathon,13.71138,100.52,Entire home/apt,1185,30,38,2020-04-27,0.89,3,63,0,302,357870,Long
32857140,Silvio's Bistro,41512313,Silvio,Bang Rak,13.7192,100.51692,Private room,900,1,0,,0.0,3,0,0,365,328500,Short
32857553,"City Center Designer 2 Bdrm, Near to Nana and Asok",133849226,Aidan,Ratchathewi,13.74936,100.55542,Entire home/apt,1393,30,77,2022-01-05,1.67,20,129,1,236,328748,Long
32858411,Silvio's Bistro,41512313,Silvio,Bang Rak,13.7192,100.51692,Private room,700,1,0,,0.0,3,0,0,365,255500,Short
32861787,Whole House/4Bedrooms/ Experience Local Life,175446488,Ohm,Bangkok Yai,13.74663,100.48526,Entire home/apt,2551,1,54,2022-12-08,1.18,4,307,18,58,147958,Short
32862414,#FreeAirportPickup# Romantic in ASOKE #L MRT/BTS,15699117,Pk,Vadhana,13.73869,100.56152,Entire home/apt,3686,4,0,,0.0,8,297,0,68,250648,Short
32873440,"5Mins walk MRT Rama9, 1stop Ratchada Night Market",40262107,Patty,Din Daeng,13.75615,100.56186,Entire home/apt,1371,1,21,2022-11-21,0.49,39,88,2,277,379767,Short
32874165,Private group room - 5 min. to DMK @PETRA POSHTEL,102799758,Sukritta,Don Mueang,13.92454,100.59972,Private room,1200,1,4,2019-06-04,0.09,5,333,0,32,38400,Short
32874842,6 Months or Longer/Prasan Mit/MRT/Airport Link,164257223,Drew,Ratchathewi,13.75175,100.5632,Entire home/apt,720,180,0,,0.0,7,364,0,1,720,Long
32877338,Luxury condo/Superb skyline view bkce37,199624792,Ho,Vadhana,13.74055,100.59041,Entire home/apt,1450,21,0,,0.0,23,148,0,217,314650,Short
32879160,Night View Boutique Condo@Sukhumvit bkce30,199624792,Ho,Khlong Toei,13.71932,100.58359,Entire home/apt,1500,21,6,2019-05-23,0.13,23,146,0,219,328500,Short
32698944,2ห้องนอน2ห้องน้ำสระว่ายน้ำฟตเนส10นาทีถึงเซนทรัล,245872167,Thiraphat,Bang Khen,13.85416,100.63668,Entire home/apt,494,365,0,,0.0,1,364,0,1,494,Long
32701111,Ibeyond Romklao 2 Queen bed,47634456,Poompong,Lat Krabang,13.75257,100.7495,Private room,1090,1,6,2022-12-27,0.13,4,352,1,13,14170,Short
32702106,"Studio Room in CBD,10 min walk from ChongNonsi BTS",45824871,Sakkarn,Sathon,13.71656,100.52979,Entire home/apt,836,1,65,2022-12-12,1.4,2,312,22,53,44308,Short
32702968,Nice place near 200m sky train Wongsawang station,245909504,Ratchaneekorn,Bang Sue,13.8298,100.52876,Entire home/apt,1000,7,1,2019-03-31,0.02,1,345,0,20,20000,Short
32879972,"1 Bedroom for 2-3 people, price include electric",243386029,Piyapa,Suanluang,13.711642,100.606834,Entire home/apt,904,1,27,2022-12-26,0.61,3,295,17,70,63280,Short
32390575,Lumpinipark phetkasem98,158215479,Rujira,Bang Khae,13.70985,100.38395,Private room,900,7,1,2019-07-25,0.02,1,90,0,275,247500,Short
32409744,紧邻碧雅威医院一卧室独立厨卫电梯公寓#1,110084530,BabyBlue,Huai Khwang,13.75243,100.57977,Entire home/apt,1400,3,2,2020-03-04,0.05,5,0,0,365,511000,Short
32410171,曼谷市中心靠近Sathorn，38平米旅行居家公寓,41927068,小黑,Yan na wa,13.70093,100.54362,Entire home/apt,1200,5,16,2022-12-13,0.34,1,27,6,338,405600,Short
32410835,48/627 เสรีไทย 39 แขวง คลองกุ่ม เขต บึงกุ่ม กรุงเท,243397250,Zaydyn,Bueng Kum,13.78025,100.66755,Entire home/apt,1108,1,0,,0.0,1,365,0,0,0,Short
32703942,"Central World, Siam & Platinum + Sky Pool",420188,Baker,Ratchathewi,13.75241,100.53749,Entire home/apt,2100,30,82,2022-11-18,1.78,9,19,22,346,726600,Long
32704815,SUITE with POOL access near GRAND PALACE (15 min),16232330,Natthaphon,Bang Phlat,13.77814,100.48084,Hotel room,2100,1,0,,0.0,2,341,0,24,50400,Short
32411757,New Condo w/ Great View & Facilities @ Sukumvit 11,243407322,Pascal,Vadhana,13.7445,100.55526,Entire home/apt,2000,21,21,2022-05-29,0.45,3,254,2,111,222000,Short
32413837,"Mid-town Blossom sathorn, 2 bedrooms",211976669,Daranee,Sathon,13.70987,100.51984,Private room,1300,2,24,2022-08-13,0.53,1,279,7,86,111800,Short
32705091,"1 min walk to BTS N1 Station.A. Near Siam, MBK",245924343,Gee,Ratchathewi,13.75233,100.5309,Private room,1529,1,24,2022-10-27,0.52,2,176,6,189,288981,Short
32417855,Sathon CBD  Luxury Apartment High-rise CityView,237116419,Mint,Sathon,13.71365,100.5357,Entire home/apt,2038,2,10,2022-12-20,0.22,1,168,6,197,401486,Short
32418333,EveRyDaY SUKHUMVIT 22-24 PHROMPHONG CLOUD POOL*,24732047,EveRyDaY Is A HoLidAy,Khlong Toei,13.72544,100.56622,Entire home/apt,1071,3,52,2020-02-21,1.12,6,107,0,258,276318,Short
32418409,Amazing Flat in Ratchatewi,220529068,Krit,Ratchathewi,13.75215,100.53052,Entire home/apt,4500,28,0,,0.0,1,180,0,185,832500,Short
32428205,"Luxury Private room in central of Thonglor, Bkk",119085827,Ekkachai,Vadhana,13.73663,100.5824,Private room,2000,90,0,,0.0,2,173,0,192,384000,Long
32432913,Silvio's Bistro.,41512313,Silvio,Bang Rak,13.71919,100.51695,Hotel room,1280,1,0,,0.0,3,0,0,365,467200,Short
32451343,"STYLIST VIEW ROOM near Airport Link, Pratunam.",227240004,Hyde Park,Ratchathewi,13.75872802734375,100.5439682006836,Private room,1899,1,4,2022-04-25,0.09,8,358,1,7,13293,Short
32454889,New high-end community apartment! 1B BTS nearby,128943709,Rain,Vadhana,13.74041,100.59074,Entire home/apt,2100,21,2,2022-11-19,0.57,26,93,2,272,571200,Short
32456706,"Pink Dream Brand New 2Bdrm, Near to Nana and Asoke",133849226,Aidan,Ratchathewi,13.74869,100.55655,Entire home/apt,2736,28,84,2020-02-25,1.81,20,177,0,188,514368,Short
32705109,KING BR w. POOL access near GRAND PALACE (15 mins),16232330,Natthaphon,Bang Phlat,13.77813,100.48078,Hotel room,1464,1,0,,0.0,2,361,0,4,5856,Short
32709243,"209 ✪ 3mins BTS, Near DMK, JJ Market, 7-11",36424698,Viewii Siraprapha,Chatu Chak,13.82563,100.56532,Entire home/apt,631,30,58,2020-09-06,1.25,9,65,0,300,189300,Long
32458730,คอมมอลเวล จรัญสนิทวงศ์ 49,175762402,Supaporn,Bang Phlat,13.7773,100.48457,Entire home/apt,650,30,0,,0.0,1,83,0,282,183300,Long
32459587,Hidden Gem Midnight 1 Bedroom Near (BTS),238195812,Exostay,Khlong Toei,13.72421,100.56753,Entire home/apt,1580,2,84,2022-12-07,1.8,13,310,22,55,86900,Short
32711876,"New Room, 5 mins to   BTS Victory Monument",232730913,Apple,Ratchathewi,13.76381,100.54087,Entire home/apt,1350,28,35,2022-08-31,0.75,4,148,2,217,292950,Short
32713515,"New,Live Like a Local,Thonglor BTS stn.,2Bedrooms",245946613,Ally,Khlong Toei,13.72369,100.57352,Entire home/apt,2300,300,4,2019-04-18,0.09,2,362,0,3,6900,Long
32460993,Hidden Vintage Private Bedroom Near Sukhumvit(BTS),238195812,Exostay,Khlong Toei,13.7254,100.56545,Entire home/apt,1580,2,76,2022-12-18,1.63,13,130,23,235,371300,Short
